"Produit","Match"
"viande de boeuf avec os (kg)","viande de bœuf avec os"
"viande de mouton (kg)","viande de mouton"
"poulet de chair (kg)","poulet de chair (kg)"
"carpe noire d'aquaculture","carpe noire d'aquaculture"
"carpe rouge locale","carpe rouge locale"
"thon noir","thon noir"
"thon rouge","thon rouge"
"sosso local","sosso local"
"mâchoiron frais local","mâchoiron frais local"
"sardine fumée (mangne)","sardine fumée (mangne)"
"escargot local","escargot local"
"crevette locale","crevette locale"
"riz importe du vietnam / sac 5 kgs","riz importe du vietnam / sac 5 kgs"
"riz importe du vietnam / sachet 900g","riz importe du vietnam / sac 5 kgs"
"riz importe de thaïlande / sac 5 kgs","riz importe du vietnam / sac 5 kgs"
"riz importe de thaïlande / sachet 900g","riz importe du vietnam / sac 5 kgs"
"huile de palme raffinée / bouteille 5l","huile de palme raffinée / bouteille 5l"
"huile de palme raffinée bouteille 31","huile de palme raffinée bouteille 31"
"huile de palme raffinée / bouteille 1,5l","huile de palme raffinée / bouteille 1,5l"
"tomate concentree / boite 2,2 kgs","tomate concentree / boite 2,2 kgs"
"tomate concentree / boite 400g","tomate concentree / boite 400g"
"farine de bls patissiere / paquet 1 kg","farine de bls patissiere / paquet 1 kg"
"sucre en poudre blanc / sachet 1 kg","sucre en poudre blanc / sachet 1 kg"
"sucre en poudre blanc / vrac","sucre en poudre blanc / vrac"
"sucre en morceau blanc / paquet 1 kg","sucre en morceau blanc / paquet 1 kg"
"lait en poudre / boite 1,8 kg","lait en poudre / boite 1,8 kg"
"lait en poudre / boite 900g","lait en poudre / boite 900g"
"lait en poudre / boite 400g","lait en poudre / boite 400g"
"lait en poudre / sachet 26g","lait en poudre / sachet 26g"
"pates alimentaires spaghettis / paquet 200g","pates alimentaires spaghettis / paquet 200g"
"pates alimentaires vermicelles / sachet 200g","pates alimentaires vermicelles / sachet 200g"
"eau minerale source bonoua / bouteille 1,5 l","eau minerale source bonoua / bouteille 1,5 l"
"eau minerale source bonoua/ bouteille 1,2 l","eau minerale source bonoua/ bouteille 1,2 l"
"eau minerale source bonoua/ bouteille 33 cl","eau minerale source bonoua/ bouteille 33 cl"
"eau minerale source bonoua/ verre 33 cl","eau minerale source bonoua/ verre 33 cl"
"huile de palme raffinée / bouteille 3l","huile de palme raffinée / bouteille 5l"
"huile de palme raffinée / bouteille 0,9l","huile de palme raffinée / bouteille 5l"
"farine de blé pâtissière / paquet 1 kg","farine de blé pâtissière / paquet 1 kg"
"pâtes alimentaires spaghettis / paquet 200g","pâtes alimentaires spaghettis / paquet 200g"
"pâtes alimentaires vermicelles / sachet 200g","pâtes alimentaires vermicelles / sachet 200g"
"eau minérale source bonoua / bouteille 1,5 l","eau minérale source bonoua / bouteille 1,5 l"
"eau minérale source bonoua / bouteille 1,2 l","eau minérale source bonoua / bouteille 1,2 l"
"eau minérale source bonoua / bouteille 33 cl","eau minérale source bonoua / bouteille 33 cl"
"eau minérale source bonoua / verre 33 cl","eau minérale source bonoua / verre 33 cl"
"haricot cereale blanc","haricot"
"rognon de bœufs importes","cote de bœuf importee"
"pattes de bœuf importees","pattes de bœuf importees"
"foi de bœufs importe","cote de bœuf importee"
"tripes importes","tripes importes"
"levre de bœuf importe","cote de bœuf importee"
"gesiers de poulets importes","gesiers de poulets importes"
"aileron de dinde importe","aileron de dinde importe"
"croupion de dinde importe","aileron de dinde importe"
"cuisses de poulet importees","gesiers de poulets importes"
"dorade locale","dorade locale"
"carpe noire d'eau douce locale","carpe noire d'eau douce locale"
"brochet local","brochet local"
"maquero importe","maquero importe"
"machoiron importe","machoiron importe"
"apollo/chinchard","apollo/chinchard"
"capitaine importe","capitaine importe"
"thon blanc non sale importe","thon blanc non sale importe"
"dorade importee","dorade importee"
"sosso importe","sosso importe"
"carpe noire importee","carpe noire importee"
"rognon de bœufs importess","cote de bœuf importee"
"foie de bœufs importe","cote de bœuf importee"
"haricot (kg)","haricot"
"langues de bœuf importees","pattes de bœuf importees"
"maquereau importe","maquereau importe"
"chinchard","chinchard"
"cote de bœuf importee","cote de bœuf importee"
"thon garba","thon garba"
"amande de cajou (100 gr)","amande de cajou (100 gr)"
"cote de porc (kg)","cote de porc (kg)"
"gombo (kg)","gombo (kg)"
"gombo sec en poudre (400 g.)","gombo sec en poudre (400 g.)"
"kplo (unité moyen)","kplo (unité moyen)"
"maïs (kg)","maïs (kg)"
"maïs decortique (kg)","maïs decortique (kg)"
"maïs poudre (kabato 1 kg)","maïs poudre (kabato 1 kg)"
"pate anacarde(500 g.)","pate anacarde(500 g.)"
"pate arachide (400 g.)","pate arachide (400 g.)"
"pate pistache(400 g.)","pate pistache(400 g.)"
"pattes de boeuf (kg)","pattes de boeuf (kg)"
"pattes de porc (kg)","pattes de porc (kg)"
"poisson carpe importe (kg)","poisson carpe (kg)"
"poisson chinchard importe (kg)","poisson carpe (kg)"
"poisson maquereau importe (kg)","maquereau importe"
"poisson sosso importe (kg)","poisson sosso (kg)"
"poisson thon (kg)","poisson sosso (kg)"
"pondeuse (kg)","pondeuse (kg)"
"riz local (kg)","riz local (kg)"
"viande de porc (kg)","cote de porc (kg)"
"banane dessert (kg)","ananas (kg)"
"bissap (kg)","bissap (kg)"
"huile raffinee 0,90 l","huile raffinee 0,90 l"
"lait liquide (l)","lait liquide (l)"
"mais concasse (kg)","mais concasse (kg)"
"menthe (bouquet)","menthe (bouquet)"
"miel(l)","miel(l)"
"mil decortique","maïs decortique (kg)"
"poisson carpe (kg)","poisson carpe (kg)"
"poisson chinchard (kg)","poisson carpe (kg)"
"poisson maquereau (kg)","poisson carpe (kg)"
"poisson sosso (kg)","poisson sosso (kg)"
"sucre blanc (kg)","sucre blanc (kg)"
"sucre roux (kg)","sucre roux (kg)"
"tamarin (kg)","tamarin (kg)"
>>>>>>> df2d266539719a4c318461022ecf77368e7d91a6
